location;average_temperature
Burkina Faso;28,29
Mali;28,25
Kiribati;28,20
Djibouti;28,00
Tuvalu;28,00
Senegal;27,85
Mauritania;27,65
Maldives;27,65
Palau;27,60
Benin;27,55
Gambia;27,50
Marshall Islands;27,40
Ghana;27,20
Bahrain;27,15
Niger;27,15
Qatar;27,15
Seychelles;27,15
Togo;27,15
Somalia;27,05
United Arab Emirates;27,00
Sri Lanka;26,95
Sudan;26,90
Brunei;26,85
Cambodia;26,80
Nigeria;26,80
Saint Vincent and the Grenadines;26,80
Guinea-Bissau;26,75
Samoa;26,70
Grenada;26,65
Chad;26,55
Singapore;26,45
Cote d'Ivoire;26,35
Thailand;26,30
Sierra Leone;26,05
Antigua and Barbuda;26,00
Barbados;26,00
Guyana;26,00
Indonesia;25,85
Federated States of Micronesia;25,85
Philippines;25,85
Trinidad and Tobago;25,75
Guinea;25,70
Suriname;25,70
Solomon Islands;25,65
Oman;25,60
Comoros;25,55
Eritrea;25,50
Saint Lucia;25,50
Malaysia;25,40
Panama;25,40
Belize;25,30
Kuwait;25,35
Venezuela;25,35
Liberia;25,30
Timor;25,25
Papua New Guinea;25,25
Tonga;25,25
Cuba;25,20
Gabon;25,05
Bangladesh;25,00
Brazil;24,95
Jamaica;24,95
Central African Republic;24,90
Haiti;24,90
Vietnam;24,45
Nicaragua;24,90
Bahamas;24,85
Costa Rica;24,80
Kenya;24,75
Saudi Arabia;24,65
Cameroon;24,60
Congo;24,55
Dominican Republic;24,55
Equatorial Guinea;24,55
Colombia;24,50
Saint Kitts and Nevis;24,50
El Salvador;24,45
Fiji;24,40
Democratic Republic of Congo;24,00
Vanuatu;23,95
Yemen;23,85
Mozambique;23,80
Sao Tome and Principe;23,75
India;23,65
Paraguay;23,55
Honduras;23,50
Guatemala;23,45
Cape Verde;23,30
Laos;22,80
Uganda;22,80
Madagascar;22,65
Mauritius;22,40
Dominica;22,35
Tanzania;22,35
Ethiopia;22,20
Egypt;22,10
Malawi;21,90
Ecuador;21,85
Libya;21,80
Australia;21,65
Angola;21,55
Bolivia;21,55
Botswana;21,50
Iraq;21,40
Eswatini;21,40
Zambia;21,40
Mexico;21,00
Zimbabwe;21,00
Pakistan;21,00
Namibia;20,95
Burundi;20,80
Peru;20,60
Israel;20,20
Malta;20,20
Cyprus;19,45
Jordan;19,30
Rwanda;18,85
Algeria;18,79
South Africa;18,75
Syria;18,75
Uruguay;18,55
Iran;18,25
Morocco;18,10
Lebanon;17,40
Tunisia;16,30
Portugal;15,15
Turkmenistan;15,10
Argentina;14,80
Monaco;14,55
Greece;14,44
Italy;13,45
Spain;13,30
Myanmar;13,05
Afghanistan;12,60
Uzbekistan;12,05
Azerbaijan;11,95
Lesotho;11,85
San Marino;11,85
South Korea;11,50
Albania;11,40
Japan;11,15
Croatia;10,90
France;10,70
Montenegro;10,55
Bulgaria;10,55
New Zealand;10,55
Serbia;10,55
Turkey;9,90
Bosnia and Herzegovina;9,85
North Macedonia;9,80
Hungary;9,75
Belgium;9,55
Moldova;9,45
Ireland;9,30
Netherlands;9,25
Slovenia;8,90
Romania;8,80
Luxembourg;8,65
United States;8,55
United Kingdom;8,48
Chile;8,45
Germany;8,40
Ukraine;8,30
Nepal;8,10
Poland;7,85
Andorra;7,60
Czechia;7,55
Bhutan;7,40
Armenia;7,15
China;6,95
Slovakia;6,80
Kazakhstan;6,40
Austria;6,35
Belarus;6,15
Lithuania;6,20
Georgia;5,80
North Korea;5,70
Liechtenstein;5,65
Latvia;5,60
Switzerland;5,50
Estonia;5,10
Denmark;7,50
Sweden;2,10
Tajikistan;2,00
Iceland;1,75
Finland;1,70
Kyrgyzstan;1,55
Norway;1,50
Mongolia;-0,70
Russia;-5,10
Canada;-5,35
